name,link,customer_link,alert_price,scraper,image
PlayStation 5 Console - EA Sports FIFA 23 Bundle,https://www.amazon.com.au/gp/product/ajax/ref=dp_aod_unknown_mbc?asin=B0BFV8DBTF&m=&qid=1664693889&smid=&sourcecustomerorglistid=&sourcecustomerorglistitemid=&sr=1-4&pc=dp&experienceId=aodAjaxMain,https://amzn.to/3ybdkIN,800,AMZ_BO_SCRAPER,
PlayStation 5 Console - Horizon Forbidden West Bundle,https://www.amazon.com.au/gp/product/ajax/ref=dp_aod_unknown_mbc?asin=B0B465T5D7&m=&qid=1664693958&smid=&sourcecustomerorglistid=&sourcecustomerorglistitemid=&sr=1-2&pc=dp&experienceId=aodAjaxMain,https://amzn.to/3y8dmkP,900,AMZ_BO_SCRAPER,
PlayStation 5 Console,https://www.amazon.com.au/gp/product/ajax/ref=dp_aod_unknown_mbc?asin=B08HHV8945&m=&qid=1664693977&smid=&sourcecustomerorglistid=&sourcecustomerorglistitemid=&sr=1-5&pc=dp&experienceId=aodAjaxMain,https://amzn.to/3RJ8eut,810,AMZ_BO_SCRAPER,
PlayStation 5 Digital Edition Console,https://www.amazon.com.au/gp/product/ajax/ref=dp_aod_unknown_mbc?asin=B08HLWDMFQ&m=&qid=1664694007&smid=&sourcecustomerorglistid=&sourcecustomerorglistitemid=&sr=1-3&pc=dp&experienceId=aodAjaxMain,https://amzn.to/3ftYaYB,700,AMZ_BO_SCRAPER,
